course code,Section,Date & Time,Room,Instructor,Quota,Enrol,Avail,Wait,Remarks
MGMT 5490,L2 (1466),29-MAR-2023 - 17-MAY-2023We 07:00PM - 10:20PM,TBA,"WONG, Ellick Kin Fai",40,25,15,0,"> The class is delivered in a real-time online mode
> For SBM TPG students only
> Add/Drop Deadline : 06-Apr-2023Instructor Consent Required"
MGMT 5550,L1 (1474),08-APR-2023 - 08-APR-2023Sa 09:30AM - 12:50PM 08-APR-2023 - 08-APR-2023Sa 02:30PM - 05:50PM 22-APR-2023 - 22-APR-2023Sa 09:30AM - 12:50PM 22-APR-2023 - 22-APR-2023Sa 02:30PM - 05:50PM 13-MAY-2023 - 13-MAY-2023Sa 09:30AM - 12:50PM 13-MAY-2023 - 13-MAY-2023Sa 02:30PM - 05:50PM 27-MAY-2023 - 27-MAY-2023Sa 09:30AM - 12:50PM 27-MAY-2023 - 27-MAY-2023Sa 02:30PM - 05:50PM,"Rm 1003, LSK Bldg (70) Rm 1003, LSK Bldg (70) Rm 1011, LSK Bldg (80) Rm 1011, LSK Bldg (80) Rm 1001, LSK Bldg (70) Rm 1001, LSK Bldg (70) Rm 1005, LSK Bldg (70) Rm 1005, LSK Bldg (70)","BITTERLY, Thomas Bradford BITTERLY, Thomas Bradford BITTERLY, Thomas Bradford BITTERLY, Thomas Bradford BITTERLY, Thomas Bradford BITTERLY, Thomas Bradford BITTERLY, Thomas Bradford BITTERLY, Thomas Bradford",45,37,8,0,"> For FT-MBA; PT-MBA; MBA Exchange and Bi-weekly MBA students only
> Add/Drop Deadline : 09-Apr-2023"
MGMT 5550,L2 (1470),03-APR-2023 - 03-APR-2023Mo 09:30AM - 12:50PM 17-APR-2023 - 24-APR-2023Mo 09:30AM - 12:50PM 21-APR-2023 - 21-APR-2023Fr 02:00PM - 05:20PM 28-APR-2023 - 28-APR-2023Fr 02:00PM - 05:20PM 19-MAY-2023 - 19-MAY-2023Fr 02:00PM - 05:20PM 22-MAY-2023 - 29-MAY-2023Mo 09:30AM - 12:50PM,"Rm 2001, LSK Bldg Rm 2001, LSK Bldg Rm 2003, LSK Bldg Rm 2001, LSK Bldg Rm 2001, LSK Bldg Rm 2001, LSK Bldg","NASON, Stephen William NASON, Stephen William NASON, Stephen William NASON, Stephen William NASON, Stephen William NASON, Stephen William",65,29,36,0,"> For MSc(GO) students only
> Add/Drop Deadline : 10-Apr-2023"
MGMT 5550,L3 (1457),07-FEB-2023 - 23-FEB-2023TuTh 02:00PM - 05:20PM 07-MAR-2023 - 23-MAR-2023TuTh 02:00PM - 05:20PM,"Rm 2003, LSK Bldg Rm 2003, LSK Bldg","FRANKLIN, Laurence CraigNASON, Stephen William FRANKLIN, Laurence CraigNASON, Stephen William",50Quota/Enrol/AvailMBA: 50/22/28,22,28,0,"> For FT-MBA and MBA Exchange students only
> Add/Drop Deadline : 13-Feb-2023"
MGMT 5550,L4 (1455),06-FEB-2023 - 20-FEB-2023Mo 07:00PM - 10:20PM 06-MAR-2023 - 03-APR-2023Mo 07:00PM - 10:20PM,TBA TBA,"NASON, Stephen William NASON, Stephen William",50Quota/Enrol/AvailMBA: 50/29/21,29,21,0,"> For PT-MBA and MBA Exchange students only
> Venue : B-School Central, 15/F, HK Club Bldg, 3A Charter Rd, Central
> Add/Drop Deadline : 13-Feb-2023"
MGMT 5570,L1 (1456),07-FEB-2023 - 21-FEB-2023Tu 07:00PM - 10:20PM 07-MAR-2023 - 04-APR-2023Tu 07:00PM - 10:20PM,TBA TBA,"DORAN, Christopher DORAN, Christopher",37Quota/Enrol/AvailMBA: 37/19/18,19,18,0,"> For FT-MBA; PT-MBA and MBA Exchange students only
> Venue : B-School Central, 15/F, HK Club Bldg, 3A Charter Rd, Central
> Add/Drop Deadline : 08-Feb-2023"
MGMT 5590,L2 (1459),08-FEB-2023 - 22-FEB-2023We 07:00PM - 10:20PM 08-MAR-2023 - 05-APR-2023We 07:00PM - 10:20PM,TBA TBA,"MIHOREAN, Mark Andrew MIHOREAN, Mark Andrew",65,60,5,0,"> The class is delivered in a real-time online mode
> For FT-MBA; PT-MBA; MBA Exchange and MBA(Bi-weekly) students only
> Add/Drop Deadline : 13-Feb-2023"
MGMT 5750,L1 (1471),06-APR-2023 - 06-APR-2023Th 02:00PM - 05:20PM 12-APR-2023 - 24-MAY-2023We 02:00PM - 05:20PM,"Rm 2003, LSK Bldg Rm 2001, LSK Bldg","FRANKLIN, Laurence Craig FRANKLIN, Laurence Craig",45,18,27,0,"> For MSc(IMT) students only
> Add/Drop Deadline : 11-Apr-2023"
MGMT 5760,L1 (1460),08-FEB-2023 - 29-MAR-2023We 02:00PM - 05:20PM,"G003, LSK Bldg (70)","CHOI, Joon NakDORAN, Christopher",40Quota/Enrol/AvailISOM: 40/17/23,17,23,0,"> For MSc(BA) students only
> Venue : B-School Central, 15/F, HK Club Bldg, 3A Charter Rd, Central
> Add/Drop Deadline : 13-Feb-2023"
MGMT 5760,L2 (1461),08-FEB-2023 - 29-MAR-2023We 07:00PM - 10:20PM,"Rm 2003, LSK Bldg","CHOI, Joon NakDORAN, Christopher",40Quota/Enrol/AvailISOM: 40/30/10,30,10,0,"> For MSc(BA) students only
> Add/Drop Deadline : 13-Feb-2023"
